path_generated,path_test,n_passwords,n_unique_generated_passwords,n_unique_test_passwords,overlap,guessing accuracy
./output/experimento1/evaluacion/generated_dict_train10000_len100000000.txt,./data/Español/10.txt,10000,9908,101267,248,0.2449
./output/experimento1/evaluacion/generated_dict_train10000_len100000000.txt,./data/Español/10.txt,100000,93453,101267,1542,1.5227
./output/experimento1/evaluacion/generated_dict_train10000_len100000000.txt,./data/Español/10.txt,1000000,787236,101267,6080,6.0039
./output/experimento1/evaluacion/generated_dict_train10000_len100000000.txt,./data/Español/10.txt,10000000,5612201,101267,14105,13.9285
./output/experimento1/evaluacion/generated_dict_train10000_len100000000.txt,./data/Español/10.txt,100000000,11208972,101267,18061,17.835
./output/experimento1/evaluacion/generated_dict_train20000_len100000000.txt,./data/Español/10.txt,10000,9952,101267,223,0.2202
./output/experimento1/evaluacion/generated_dict_train20000_len100000000.txt,./data/Español/10.txt,100000,96259,101267,1865,1.8417
./output/experimento1/evaluacion/generated_dict_train20000_len100000000.txt,./data/Español/10.txt,1000000,848486,101267,8288,8.1843
./output/experimento1/evaluacion/generated_dict_train20000_len100000000.txt,./data/Español/10.txt,10000000,6399732,101267,20355,20.1003
./output/experimento1/evaluacion/generated_dict_train20000_len100000000.txt,./data/Español/10.txt,100000000,39925931,101267,35471,35.0272
./output/experimento1/evaluacion/generated_dict_train10000_len100000000.txt,./data/French/10.txt,10000,9908,9351,0,0.0
./output/experimento1/evaluacion/generated_dict_train10000_len100000000.txt,./data/French/10.txt,100000,93453,9351,0,0.0
./output/experimento1/evaluacion/generated_dict_train10000_len100000000.txt,./data/French/10.txt,1000000,787236,9351,0,0.0
./output/experimento1/evaluacion/generated_dict_train10000_len100000000.txt,./data/French/10.txt,10000000,5612201,9351,5,0.0535
./output/experimento1/evaluacion/generated_dict_train10000_len100000000.txt,./data/French/10.txt,100000000,11208972,9351,12,0.1283
./output/experimento1/evaluacion/generated_dict_train20000_len100000000.txt,./data/French/10.txt,10000,9952,9351,0,0.0
./output/experimento1/evaluacion/generated_dict_train20000_len100000000.txt,./data/French/10.txt,100000,96259,9351,0,0.0
./output/experimento1/evaluacion/generated_dict_train20000_len100000000.txt,./data/French/10.txt,1000000,848486,9351,1,0.0107
./output/experimento1/evaluacion/generated_dict_train20000_len100000000.txt,./data/French/10.txt,10000000,6399732,9351,14,0.1497
./output/experimento1/evaluacion/generated_dict_train20000_len100000000.txt,./data/French/10.txt,100000000,39925931,9351,56,0.5989
./output/experimento1/evaluacion/generated_dict_train10000_len100000000.txt,./data/Italian/10.txt,10000,9908,14557,0,0.0
./output/experimento1/evaluacion/generated_dict_train10000_len100000000.txt,./data/Italian/10.txt,100000,93453,14557,2,0.0137
./output/experimento1/evaluacion/generated_dict_train10000_len100000000.txt,./data/Italian/10.txt,1000000,787236,14557,34,0.2336
./output/experimento1/evaluacion/generated_dict_train10000_len100000000.txt,./data/Italian/10.txt,10000000,5612201,14557,159,1.0923
./output/experimento1/evaluacion/generated_dict_train10000_len100000000.txt,./data/Italian/10.txt,100000000,11208972,14557,236,1.6212
./output/experimento1/evaluacion/generated_dict_train20000_len100000000.txt,./data/Italian/10.txt,10000,9952,14557,2,0.0137
./output/experimento1/evaluacion/generated_dict_train20000_len100000000.txt,./data/Italian/10.txt,100000,96259,14557,5,0.0343
./output/experimento1/evaluacion/generated_dict_train20000_len100000000.txt,./data/Italian/10.txt,1000000,848486,14557,35,0.2404
./output/experimento1/evaluacion/generated_dict_train20000_len100000000.txt,./data/Italian/10.txt,10000000,6399732,14557,210,1.4426
./output/experimento1/evaluacion/generated_dict_train20000_len100000000.txt,./data/Italian/10.txt,100000000,39925931,14557,711,4.8842
./output/experimento1/evaluacion/generated_dict_train10000_len100000000.txt,./data/Portuguese (European)/10.txt,10000,9908,3597,0,0.0
./output/experimento1/evaluacion/generated_dict_train10000_len100000000.txt,./data/Portuguese (European)/10.txt,100000,93453,3597,3,0.0834
./output/experimento1/evaluacion/generated_dict_train10000_len100000000.txt,./data/Portuguese (European)/10.txt,1000000,787236,3597,16,0.4448
./output/experimento1/evaluacion/generated_dict_train10000_len100000000.txt,./data/Portuguese (European)/10.txt,10000000,5612201,3597,59,1.6403
./output/experimento1/evaluacion/generated_dict_train10000_len100000000.txt,./data/Portuguese (European)/10.txt,100000000,11208972,3597,86,2.3909
./output/experimento1/evaluacion/generated_dict_train20000_len100000000.txt,./data/Portuguese (European)/10.txt,10000,9952,3597,2,0.0556
./output/experimento1/evaluacion/generated_dict_train20000_len100000000.txt,./data/Portuguese (European)/10.txt,100000,96259,3597,6,0.1668
./output/experimento1/evaluacion/generated_dict_train20000_len100000000.txt,./data/Portuguese (European)/10.txt,1000000,848486,3597,24,0.6672
./output/experimento1/evaluacion/generated_dict_train20000_len100000000.txt,./data/Portuguese (European)/10.txt,10000000,6399732,3597,64,1.7793
./output/experimento1/evaluacion/generated_dict_train20000_len100000000.txt,./data/Portuguese (European)/10.txt,100000000,39925931,3597,199,5.5324
./output/experimento1/evaluacion/generated_dict_train10000_len100000000.txt,./data/Catalan/10.txt,10000,9908,13235,0,0.0
./output/experimento1/evaluacion/generated_dict_train10000_len100000000.txt,./data/Catalan/10.txt,100000,93453,13235,0,0.0
./output/experimento1/evaluacion/generated_dict_train10000_len100000000.txt,./data/Catalan/10.txt,1000000,787236,13235,10,0.0756
./output/experimento1/evaluacion/generated_dict_train10000_len100000000.txt,./data/Catalan/10.txt,10000000,5612201,13235,39,0.2947
./output/experimento1/evaluacion/generated_dict_train10000_len100000000.txt,./data/Catalan/10.txt,100000000,11208972,13235,71,0.5365
./output/experimento1/evaluacion/generated_dict_train20000_len100000000.txt,./data/Catalan/10.txt,10000,9952,13235,0,0.0
./output/experimento1/evaluacion/generated_dict_train20000_len100000000.txt,./data/Catalan/10.txt,100000,96259,13235,0,0.0
./output/experimento1/evaluacion/generated_dict_train20000_len100000000.txt,./data/Catalan/10.txt,1000000,848486,13235,7,0.0529
./output/experimento1/evaluacion/generated_dict_train20000_len100000000.txt,./data/Catalan/10.txt,10000000,6399732,13235,62,0.4685
./output/experimento1/evaluacion/generated_dict_train20000_len100000000.txt,./data/Catalan/10.txt,100000000,39925931,13235,260,1.9645